Manufacturer,Model,Price,Gear,Hand,Capacity_engine,Engine_type,Km,Color,Prev_ownership,Curr_ownership,Area,City,Year,Pic_num,Cre_date,Repub_date,Description,Test
סקודה,סופרב,230000 ,אוטומטית,2,2000,בנזין,39000,אפור,פרטית,פרטית,רעננה - כפר סבא,כפר סבא,2021,4,2023-09-07,2023-09-07,"שלום חברים שלי ❤️
רכב מלוקק שמור בקנאות
2021
יד 01 ברישיון 
קמ 39,000
דגם ספורטליין 🏁🏎️
4️⃣❌4️⃣
272 סוסים 🥇
עבר ביטוחי נקי 🛀, מתחייב בבדיקה 🥇",
סקודה,אוקטביה קומבי,62000 ,אוטומטית,2,1200,בנזין,130,שחור,פרטית,פרטית,עכו - נהריה,עכו,2017,7,2023-09-06,2023-09-06,סקודה אוקטביה 2017 סטייל אוטו שמור מאוד ומטובל בזמן הכול חדש בהזדמנות 0528033147 💢💥,
סקודה,פאביה ספייס,46990 ,אוטומטית,1,1000,בנזין,129000,כסוף,ליסינג,ליסינג,אשדוד - אשקלון,אשקלון,2018,5,2023-09-06,2023-09-06,"סקודה פאביה ספייס 1.0 110 כ""ס החל מ-799 ₪ בחודש *רכישה באמצעות המחאות (צ'קים). 
*טרייד אין (המרה) אטרקטיבי . *ליסינג גמיש.
*עד 100% מימון עד- 60 תשלומים. בלו-סקאי אשקלון Outlet רכבי עבודה החל מ- 14.990 ש""ח כתובתנו צה""ל 50 אשקלון . *כפוף לאישור הגורם המממן התמונה. להמחשה בלבד . ט.ל.ח פאביה ספייס 1.0 110 כ""ס",
סקודה,אוקטביה,75000 ,אוטומטית,3,1000,בנזין,181000,לבן,חברה,פרטית,חיפה וחוף הכרמל,חיפה,2018,4,2023-05-25,2023-05-25,רכב שמור ללא מעשנים בסלון נקיא ויפה,
סקודה,אוקטביה,142000 ,אוטומטית,1,1500,בנזין,24000,אפור מטאלי,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,2021,5,2023-07-04,2023-08-04,סקודה אוקטביה החדשה מנוע 1500 דגם דינמק ספורט יד 01 רכב שמור מאוד טסט לשנה ללא תאונות בכלל,
סקודה,אוקטביה,72000 ,אוטומטית,1,1000,דיזל,140000,אפור מטאלי,ליסינג,פרטית,באר שבע והסביבה,אופקים,2018,9,2023-03-29,2023-03-29,"רכב מפנק 
טסט לשנה שלמה
טיפולים בזמן-טיפול אחרון לפני 4 חודשים",
סקודה,אוקטביה,72000 ,אוטומטית,3,1400,בנזין,158000,אפור מטאלי,ליסינג,פרטית,ירושלים והסביבה,ירושלים,2017,5,2023-02-23,2023-02-23,"למכירה סקודה אוקטביה עלה לכביש 10/2017 מנוע 1.4 צורה חדשה קילומטרז 150.000 גנטים 18 חלונות מושחרים שמור מאוד טסט לשנה כל 5,000 מחליף שמן ופילטר שמן רוב הנסיעות מחוץ לעיר מתחייב מנוע גיר שילדה דורש72.000 רכב מושקע מאוד",
סקודה,אוקטביה,74000 ,אוטומטית,2,1200,בנזין,92000,שחור,ליסינג,פרטית,חיפה וחוף הכרמל,חיפה,2017,1,2023-02-23,2023-02-23,"תוספות
				מערכת מולטי מדיה, מצלמת רוורס, מובילאי",
סקודה,אוקטביה,83000 ,אוטומטית,3,1800,בנזין,144000,לבן פנינה,פרטית,פרטית,טבריה והסביבה,מגאר,2017,5,2023-09-01,2023-09-01,"סקודה אוקטביה 
מודל 2017
דגם סבישל אדישן 1.8 180 כ״ס
נסע 144 אלף 
יד 3
 אוטו שמור ונקי עם כל התוספות האפשריות, טיפול חדש לפני שבוע , ללא שיפורים הכל חדש
לעוד פרטים 0505599996",
סקודה,אוקטביה,73000 ,אוטומטית,4,1300,בנזין,170000,כסוף מטאלי,ליסינג,פרטית,באר שבע והסביבה,באר שבע,2018,4,2023-08-01,2023-08-01,רכב במצב מצויין,
סקודה,סופרב,172000 ,אוטומטית,2,1500,בנזין,99000,אפור מטאלי,חברה,פרטית,פתח תקוה והסביבה,פתח תקווה,2020,4,2023-04-01,2023-04-01,כמו חדש,
סקודה,ראפיד,65000 ,אוטומטית,1,1200,בנזין,150000,אפור מטאלי,פרטית,פרטית,"ראשל""צ והסביבה",ראשון לציון,2018,5,2022-11-16,2022-11-23,"למכירה!!!
סקודה ראפיד!!! 2018!!!
יד 00 פרטי!!!
150,000 ק״מ!!!
טסט: 6.23!!!
הכי שמורה שיש!!!
ב- 1,300 ₪ בחודש!!!
עד 100% מימון בפריסה של עד 100 חודשים!!!💳
🏆התחייבות בבדיקה מנוע גיר ושלדה!!!
🏆התחייבות לטרייד אין עתידי!!!
🏆עד 100% מימון ללא מקדמה!!!
🏆 ניתן לשלם באמצעות שיקים!!!",
סקודה,אוקטביה RS,8888 ,אוטומטית,1,2000,בנזין,70000,אפור מטאלי,פרטית,פרטית,ירושלים והסביבה,ירושלים,2020,7,2022-10-19,2022-11-16,,
סקודה,סופרב,135000 ,אוטומטית,2,2000,בנזין,102000,אפור עכבר,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,2017,6,2022-01-11,2022-01-11,"למכירה סקודה סופרב שנת 2017
יד 01 עשתה 102,000 ק''מ 
מנוע 2000 דגם L&K 
220 כ''ס 4x2",
סקודה,אוקטביה,45000 ,אוטומטית,2,2000,דיזל,312000,,,,תל אביב,תל אביב יפו,2017,1,2022-10-31,2022-10-31,מונית. מצב מצויין אחרי טיימינג גלגל תנופה פרונט וטיפול גדול. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גג פנורמי,
סקודה,אוקטביה,105000 ,אוטומטית,1,1500,בנזין,74000,,,,תל אביב,תל אביב יפו,2019,1,2022-10-25,2022-10-25,"אוקטביה אמבישן 1.5, אוטו בדיוק בן 3! עלייה על הכביש 10/2019, 74000 ק״מ, יד ראשונה פרטי. כל הטיפולים בסקודה הגורן בנתניה. טסט לשנה!!! עד 9/10/2023. 
בקרת שיוט אדפטיבית, מצלמת רוורס, מערכת למניעת סטייה מנתיב. רכב בטיחותי, מרווח, בגאז׳ עצום, חסכוני, חזק ומהיר. בקיצור - אוקטביה. 
רכב שמור מאוד וללא תקלות. גמיש למי שרציני. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; בקרת שיוט אדפטיבית
מערכת התראה לסטייה מנתיב
מצלמת רוורס
פאנל 8״",
סקודה,פאביה,80000 ,אוטומטית,1,110,בנזין,36000,,,,חיפה וחוף הכרמל,חיפה,2019,1,2022-10-23,2022-10-23,"רכב יד ראשונה נרכש מהחברה, במצב שמור מאוד כמו חדש, נסע 36,000 ק""מ ב-3 שנים 
לא עבר תאונות וללא תקלות",
סקודה,סופרב,110000 ,טיפטרוניק,1,1800,בנזין,190000,,,,רעננה - כפר סבא,כפר סבא,2017,1,2022-10-20,2022-10-20,"שמור כחדש מטופל במוסך מורשה בלבד נהג יחיד , דגם סטייל , כסאות קידמים חשמלים , דלת תא מטען חשמלי ,בלם יד חשמלי , כניסה והתנעה ללא מפתח , תאורת לד, תאורת אוירה , בקרת אקלים מפוצלת , שליטה מההגה על כלל המערכות , בקרת שיוט ועוד",
סקודה,סיטיגו / Citygo,250000 ,אוטומטית,1,1900,דיזל,3800,,,,באר שבע והסביבה,באר שבע,2022,1,2022-10-17,2022-10-17,רכב חדש,
סקודה,סופרב,118000 ,רובוטית,1,1798,בנזין,100000,,,,,חיבת צון,2017,1,2022-10-17,2022-10-17,סופרב style נפח מנוע 1800. דגם מפואר. ללא תאונות ללא תיקוני צבע טיפול כל 15K במוסך מורשה. רישוי אוגוסט 2023.,
סקודה,אוקטביה,80000 ,אוטומטית,2,1000,בנזין,139670,,,,קריות,קרית ים,2017,1,2022-10-14,2022-10-14,"רכב במצב מעולה ! דגם Style (הצורה החדשה) מנוע 1000 טורבו , כולל חיישנים קדמיים ואחוריים עבר את כל הטיפולים הנדרשים כולל טסט עד יוני 2023 ! נמכר עקב שידרוג.
 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גלגלי מגנזיום , חיישנים קדמיים ואחוריים מזגן מפוצל ( גם אחורי)",
סקודה,אוקטביה,96000 ,אוטומטית,2,1500,בנזין,126000,,,,גליל ועמקים,נצרת,2019,1,2022-10-13,2022-10-13,,
סקודה,אוקטביה,86000 ,אוטומטית,2,1400,בנזין,148000,,,,,פוריידיס,2017,1,2022-12-10,2022-12-10,"סקודה יפייפיה דגם המפואר מראות חלונות חשמלים גנטים מגניזיום המקורי סקודה 4 צמיגים חדשים מזגן פיקס הכל עובד אחלה .אחרי טיפול .
טסט עד 1/23. אוטו שמור.",
סקודה,אוקטביה,122000 ,אוטומטית,1,2000,בנזין,28000,,,,באר שבע והסביבה,באר שבע,2019,1,2022-10-10,2022-10-10,"רכב חדש מאובזר בכול הטכנולוגיות שיש &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; דגם exclusive טסט עד ינואר 
בקרת יציבות , בקרת שיוט אדפטיבית , זיהוי הולכי רגל זיהיו אקטיבי",
סקודה,ייטי,53000 ,אוטומטית,2,1200,בנזין,110000,,,,חולון - בת ים,חולון,2017,1,2022-07-10,2022-07-10,רכב מעולה. חסכוני וחזק. שמור ומטופל במצב טוב. טסט ל9 חודשים &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מערכת מולטימדייה חדשה וגדולה עם מגע.,
סקודה,אוקטביה,122000 ,אוטומטית,1,2000,בנזין,28000,,,,באר שבע והסביבה,באר שבע,2019,1,2022-04-10,2022-04-10,"רכב שמור מאוד, מטופל אך ורק בצ'מפיון, הגרסה המפוארת , 190 כ""ס. יד 1 28000 קמ.
כל בקרות הבטיחות החדשות, כולל היגוי אקטיבי בסטייה מנתיב , בקרת שיוט אדפטיבית כולל זחילה בפקקים ועוד... &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; רכב שמור מאוד, מטופל אך ורק בצ'מפיון, הגרסה המפוארת , 190 כ""ס.יד ראשונה 28000 קמ.
כל בקרות הבטיחות החדשות, כולל היגוי אקטיבי בסטייה מנתיב , בקרת שיוט אדפטיבית כולל זחילה בפקקים ועוד...לרציניים בלבד",
סקודה,אוקטביה,83000 ,אוטומטית,2,1400,בנזין,100000,,,,טבריה והסביבה,מגאר,2017,1,2022-04-10,2022-04-10,"אוקטביה 2017
1400 טורבו
יד 2 
מטופלת בחברה בזמן
מצב מצויין 
100 אלף ק״מ
מחירון 83000
גמיש לרציניים",
סקודה,סופרב,155000 ,אוטומטית,1,1500,בנזין,45000,,,,עכו - נהריה,כפר יאסיף,2019,1,2022-09-30,2022-09-30,"שמור מאד נראה כמו חדש , מטופל במוסך מורשה , מצבר חדש . טסט 3/2023. דגם סטייל",
סקודה,סופרב,280000 ,אוטומטית,1,2000,בנזין,,,,,באר שבע והסביבה,באר שבע,2022,1,2022-09-25,2022-09-25,"קצת על הרכב: 
חדש מהחברה, מפלצתי, חזק ועוצמתי ברמה אחרת. צפוי לנחות כאן בסוף חודש עשירי, חדש לגמרי ויוצא למכירה. לא לילדים ולא למחפשי מחירון. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; NEW חיכיתם למודעה כזו!?? NEW
??2022 Skoda Superb FL Sportline 2.0 TSI?? 
תיבת הילוכים DSG 7
יצרן Skoda
ארץ ייצור: צכ׳יה ????
נפח מנוע: 2000 טורבו??
מנוע בנזין
4 דלתות
צבע חיצוני: שחור מטאלי
צבע פנל עליון: שחור
סוג וצבע ריפוד: ספורטליין, שחור
2000 טורבו
0 קילומטר????
190 כ״ס????

בטיחות הרכב:??
[ ] בקרת יציבות אלקטרונית ??
[ ] בלימת חירום אוטונומית??
[ ] בלימה אוטונומית בנסיעה לאחור??
[ ] בקרת סטיה מנתיב??
[ ] התרעת תנועה חוצה מאחור??
[ ] אורות גבוהים אוטומטיים??
[ ] זיהוי כלי רכב בשטח מת??
[ ] תאורה אדפטיבית עוקבת פניה??

??איבזור:??

גריל שחור???
גג שמש פנוראמי?
בקרת שיוט- כולל שמירת מרחק?
מושבים כוונון חשמלי + זכרון ?
פנסי חזית קסנון כולל אור גבוה?
רשת חלונות שחורים מקורי?
חיישני גשם?
חניה אוטומטית?
מצלמות חניה אחורית?
חיישני חניה אחורים + קדמיים?
כניסה + הנעה ללא מפתח?
 מראות צד מתקפלות חשמלית ?
החלפת ההילוכים מגלגל ההגה?
 מערכת עצור וסע לדימום מנוע בעמידה?
בלם יד חשמלי?
תאורת אווירה?
בולמים ומתלים אדפטיביים?
דלת תא מטען חשמלית + חיישן?
וילונות אחוריים מקוריים?
השחרת חלונות כולל שמשה אחורית?
ספוילר אחורי?
 דפיוזר אחורי?
7 כ״א מערכת ניתור מרחק מלפנים?
מע׳ אקטיבית למניעת סטייה מנתיב?
מתלי ספורט, מושבים ספורטיביים?
ריפודי אלקנטרה?
גג שמש חשמלי?

תוספות אביזרים
איתורן פעיל?
איתורן רדום?
מעמד סלולר+עריסה גדולה?
אחריות יבואן שנה 3[2]
שירותי מילוי בנזין 66 ליטר",
סקודה,סופרב,80000 ,אוטומטית,2,2000,דיזל,275000,,,,אשדוד - אשקלון,גן יבנה,2019,1,2022-09-21,2022-09-21,"רכב מונית במצב מצויין , שמור ללא תאונות 
אפשרות להפוך לרכב פרטי 
טסט עד פברואר 23 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; סופרב דגם מפואר",
סקודה,פאביה,73900 ,אוטומטית,1,1000,בנזין,45500,,,,"ראשל""צ והסביבה",ראשון לציון,2019,1,2022-09-19,2022-09-19,"לבוא לקחת... התחייבות מלאה בבדיקת הקניה לגיר מנוע ושילדה. התחייבות לקנייה חוזרת עד 5 שנים. מגוון אפשרויות מימון עד 100% נמצא בסוכנות ""גרינקאר"" בראשל""צ, רח' הרצל 28. הנחות ומחירים מיוחדים יינתנו בסניף, יחס אישי לכל לקוח שקיפות מלאה!!! מבחר ענק של רכבים נוספים ניתן לראות באתר של גרינקאר. לצאת עם רכב חדש באותו היום..",
סקודה,אוקטביה,,אוטומטית,1,1500,בנזין,,,,,באר שבע והסביבה,באר שבע,2021,1,2022-09-16,2022-09-16,,
סקודה,אוקטביה,,אוטומטית,1,14000,בנזין,1,,,,באר שבע והסביבה,באר שבע,2018,1,2022-09-14,2022-09-14,רכב שמור,
סקודה,סופרב,140000 ,אוטומטית,2,1800,בנזין,67000,,,,בית שמש והסביבה,בית שמש,2018,1,2022-09-13,2022-09-13,"דגם סטייל, שמור מאוד מאוד, ללא תאונות, מחיר סופי לחלוטין.",
סקודה,אוקטביה,255000 ,אוטומטית,1,2000,בנזין,1500,,,,,טמרה,2022,1,2022-02-09,2022-02-09,רכב עדין חברה רכב שוה כול שיקל &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גנט מגניזיום חתך נמוך כסאות עור אלקנטרה עם מסאג לד כול הרכב מתחיב על הכל אפשר מימון 100%,
סקודה,פאביה,67000 ,אוטומטית,1,999,בנזין,83000,,,,קריות,קרית ים,2018,1,2022-08-22,2022-08-22,ללא תאונות במצב מכני מעולה,
סקודה,אוקטביה RS,140000 ,אוטומטית,2,2000,בנזין,76000,לבן מטאלי,פרטית,פרטית,באר שבע והסביבה,באר שבע,2018,4,2023-12-27,2023-12-27,,
סקודה,אוקטביה ספייס,50000 ,אוטומטית,2,2000,דיזל,230000,,,,רמת גן - גבעתיים,רמת גן,2019,1,2022-11-08,2022-11-08,,
סקודה,ראפיד ספייסבק,65000 ,אוטומטית,1,1400,בנזין,85000,,,,פתח תקוה והסביבה,פתח תקווה,2017,1,2022-08-08,2022-08-08,רכב מפרטי במצב מעולה ללא תאונות עם טסט עד פברואר 2023. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; חיישנים קדמיים ולרוורס.,
סקודה,אוקטביה,151000 ,אוטומטית,3,1500,בנזין,41000,,,,,נוף הגליל,2021,1,2022-05-08,2022-05-08,רכב שמור כחדש מטופל בחברה לרצינים בלבד,
סקודה,אוקטביה,66000 ,אוטומטית,2,1200,בנזין,145000,,,,נתניה והסביבה,כפר יונה,2017,1,2022-07-30,2022-07-30,"יד 1 מליסינג ,,מצב מעולה. 145000 ק״מ.",
סקודה,סיטיגו / Citygo,32000 ,ידנית,1,1000,בנזין,72000,,,,"ראשל""צ והסביבה",ראשון לציון,2017,1,2022-07-26,2022-07-26,"מפרטי נהג יחיד לא מעשן
רכב מטופל במרכזי",
סקודה,סופרב,195000 ,אוטומטית,1,1500,בנזין,35000,,,,רמת השרון - הרצליה,הרצליה,2021,1,2022-07-22,2022-07-22,"רכב נקי ללא תאונות במצב חדש לחלוטין.
פרטי . &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; כל התוספת לרכב זה
כולל סאן רוף",
סקודה,סופרב,148000 ,אוטומטית,1,1968,דיזל,197000,,,,גליל ועמקים,נצרת,2019,1,2022-07-20,2022-07-20,,
סקודה,סופרב,138000 ,אוטומטית,2,1800,בנזין,113000,,,,חדרה וישובי עמק חפר,חדרה,2018,1,2022-07-14,2022-07-14,במצב חדש &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מסיטי רוח בחלונות מצלמת רוורס,
סקודה,סופרב,92000 ,אוטומטית,1,1395,בנזין,150000,,,,הוד השרון והסביבה,הוד השרון,2017,1,2022-09-06,2022-09-06,"רכב שמור בכל מובן של המילה 
טיפולים בזמן וללא תאונות 
ימכר לרציניים",
סקודה,אוקטביה,78000 ,אוטומטית,1,1400,בנזין,160000,,,,עמק יזרעאל,עפולה,2017,1,2022-08-06,2022-08-06,"סקודה אוקטביה דגם: STYLE 1.4 שנת: 2017
טסט עד פברואר 2023, &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; רכב שמור ברמה מאוד גבוהה, כל הטיפולים במוסך מורשה עם חלקים מקוריים בלבד. יכול להציג את כל המסמכים. שטיפה רק ידנית. אפס תאונות.
גמיש במחיר לרציניים בלבד.",
סקודה,אוקטביה,101000 ,אוטומטית,1,1500,בנזין,109000,אפור מטאלי,פרטית,פרטית,גליל ועמקים,נצרת עילית,2019,2,2022-05-18,2022-05-19,דגם סטייל,
סקודה,ראפיד,52000 ,אוטומטית,1,1000,בנזין,137000,אפור מטאלי,פרטית,פרטית,מודיעין והסביבה,מודיעין עילית,2018,2,2022-12-05,2022-12-05,"הרכב במצב מ- ע - ו - ל - ה!!! טיפולים כמו שעון, ללא תאונות, אפס תקלות, שמור ממש בקושי נסע מחוץ לעיר! 137,000 ק' לרציניים בלבד! לא בשבת!!!",
סקודה,אוקטביה,1299 ,אוטומטית,1,1500,בנזין,117000,לבן פנינה,ליסינג,ליסינג,נס ציונה - רחובות,רחובות,2020,9,2023-01-06,2023-01-12,"סקודה אוקטביה שנת 2020 נפח 1.5 יד ראשונה ישירות מהליסינג!! הרכב עם 117,000 קמ בלבד!! עם 150 כוחות סוס! התחייבות בבדיקה מלאה ! אפשרות לטרייד אין ולמימון מלא ללא מקדמה! גילאי 18+",
סקודה,ראפיד,58000 ,אוטומטית,1,1200,בנזין,54000,,,,נתניה והסביבה,נתניה,2017,1,2022-04-05,2022-04-05,סקודה ראפיד מנוע 1200 טורבו שמור מאוד ללא תאונות,
סקודה,סופרב,90000 ,אוטומטית,1,1400,בנזין,147000,שחור,פרטית,חברה,ירושלים והסביבה,ירושלים,2017,1,2022-01-05,2022-04-30,,
סקודה,אוקטביה,92000 ,אוטומטית,3,1800,בנזין,74000,,,,בית שמש והסביבה,בית שמש,2017,1,2022-04-27,2022-04-27,רכב שמור מאוד מתחייב על על בורג לא גמיש ולא בשבת!!,
סקודה,אוקטביה,95000 ,אוטומטית,1,1400,בנזין,30550,,,,"ראשל""צ והסביבה",ראשון לציון,2017,1,2022-04-18,2022-04-18,"אוקטביה סטייל 1400 טורבו.
רכב שמור מאוד, 
ק""מ נמוך מאוד (30513).
הוחלף מצבר ביוני 2021.
טסט לשנה.
הרכב מטופל רק במוסך המרכזי.
נהג בו רק נהג אחד.
הקונה יקבל עם הרכב את הכיסוי החדש שלו (כפי שרואים בתמונה). &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; הקונה יקבל עם הרכב את הכיסוי החדש שלו (כפי שרואים בתמונה).",
סקודה,אוקטביה,71000 ,אוטומטית,4,1000,בנזין,117000,שחור,ליסינג,פרטית,ירושלים והסביבה,ירושלים,2018,6,2022-01-27,2022-01-27,הרכב מצב שמור ויפה גלגלים של vrs מושקע המון חלונות שחורים אחרי טיפול הוחלף תושבות מנוע וציריות רכב שווה כול שקל,
סקודה,סופרב,185000 ,אוטומטית,1,1500,בנזין,266,כסף מטלי,פרטית,פרטית,כרמיאל והסביבה,כרמיאל,2021,3,2021-12-10,2021-11-18,"סקודה סופרב החדשה 1.5 אמבישיין . נסע רק 266 ק""מ בלבד! רכב שמור מאוד ללא תאונות,דגם מפואר כולל כל התוספות.",
סקודה,סופרב,218000 ,אוטומטית,2,2000,בנזין,53000,אפור,פרטית,פרטית,באר שבע והסביבה,באר שבע,2020,5,2023-07-30,2023-07-29,ספורט ליין 4x4 כוח סוס 280 מצב חדש מתחייב בבדיקה ללא תיקון צבע מטופל בסקודה,
